"TRI On-site and Off-site Reported Disposed of or Otherwise Released (in pounds), top 100  facilities (of 21752) for  facilities in All Industries, for  All chemicals,   U.S., 2022"
"Row #","Facility","TRIF ID","Latitude","Longitude","Total On-site","Total Off-site","Total On- and "
" "," "," "," "," ","Disposal or","Disposal or","Off-site"
" "," "," "," "," ","Other Releases","Other Releases","Disposal or"
" "," "," "," "," ","","","Other Releases"
"1","RED DOG OPERATIONS.90 MILES N OF KOTZEBUE, KOTZEBUE ALASKA 99752 (NORTHWEST ARCTIC BOROUGH)","99752RDDGP90MIL","              68.062","            -162.855","     658,664,879.5856497","               6.8200000","     658,664,886.4056497"
"2","NEVADA GOLD MINES LLC - GOLDSTRIKE MINES INC.27 MILES N OF CARLIN NEVADA, CARLIN NEVADA 89822 (ELKO)","89803BRRCK27MIL","              40.974","            -116.350","     210,324,879.3002377","         253,078.9000000","     210,577,958.2002377"
"3","KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT.8362 WEST 10200 SOUTH, BINGHAM CANYON UTAH 84006 (SALT LAKE)","84006KNNCT12300","              40.517","            -112.150","     132,350,926.2105345","          35,459.1000000","     132,386,385.3105345"
"4","HECLA GREENS CREEK MINING CO.13401 GLACIER HWY, JUNEAU ALASKA 99801 (JUNEAU CITY AND BOROUGH)","99801KNNCT13401","              58.082","            -134.641","      89,988,923.9000000","             831.0000000","      89,989,754.9000000"
"5","NEVADA GOLD MINES LLC - CARLIN SOUTH AREA.6 MILES N OF CARLIN, CARLIN NEVADA 89822 (EUREKA)","89822NWMNT6MAIL","              40.781","            -116.186","      42,961,471.0000000","          17,353.4000000","      42,978,824.4000000"
"6","MONTANA RESOURCES LLC.600 SHIELDS AVE, BUTTE MONTANA 59701 (SILVER BOW)","59701MNTNR600SH","              46.008","            -112.502","      40,938,802.6400000","               3.2529000","      40,938,805.8929000"
"7","SAND HILLS GAS PLANT.5880 FM-1233, CRANE TEXAS 79731 (CRANE)","7973WSNDHL588FM","              31.502","            -102.640","      40,458,070.0000000","              55.0000000","      40,458,125.0000000"
"8","BASIN ELECTRIC ANTELOPE VALLEY STATION.420 COUNTY RD 26, BEULAH NORTH DAKOTA 58523 (MERCER)","58523NTLPV294CO","              47.370","            -101.838","      25,630,227.0177187","       9,087,862.0000000","      34,718,089.0177187"
"9","FREEPORT-MCMORAN MIAMI INC.5701 NEW ST, CLAYPOOL ARIZONA 85532 (GILA)","85532NSPRTPOBOX","              33.413","            -110.857","      27,007,040.4017413","         402,790.5000000","      27,409,830.9017413"
"10","NORTH AMERICAN STAINLESS.6870 US 42 E, GHENT KENTUCKY 41045 (CARROLL)","41045NRTHMUS42E","              38.728","             -85.072","       5,258,197.5500000","      18,169,387.0600000","      23,427,584.6100000"
"11","NEVADA GOLD MINES LLC - PHOENIX MINE.12 MI SE OF BATTLE MOUNTAIN COPPER CANYON FACILITY, BATTLE MOUNTAIN NEVADA 89820 (LANDER)","89820BTTLMCOPPE","              40.501","            -117.106","      23,229,239.8000000","           7,075.0000000","      23,236,314.8000000"
"12","CHEMICAL WASTE MANAGEMENT.36964 ALABAMA HWY 17, EMELLE ALABAMA 35459 (SUMTER)","35459CHMCLHWY17","              32.804","             -88.312","      22,088,032.5995690","          10,015.0000000","      22,098,047.5995690"
"13","ROBINSON NEVADA MINING CO.4232 W WHITE PINE CO RD 44, RUTH NEVADA 89319 (WHITE PINE)","89319BHPCP7MILE","              39.281","            -114.992","      20,899,625.4000000","             146.0000000","      20,899,771.4000000"
"14","ASCEND PERFORMANCE MATERIALS OPERATIONS LLC.3000 OLD CHEMSTRAND RD, CANTONMENT FLORIDA 32533 (ESCAMBIA)","32533MNSNT3000O","              30.597","             -87.252","      20,542,782.1000000","             351.8900000","      20,543,133.9900000"
"15","KENNECOTT UTAH COPPER SMELTER & REFINERY.12000 WEST 2100 SOUTH & 11500 W 2100 S, MAGNA UTAH 84044 (SALT LAKE)","84006KNNCT8362W","              40.734","            -112.141","      19,218,551.6693960","           6,292.0631800","      19,224,843.7325760"
"16","INEOS NITRILES USA LLC           GREEN LAKE PLANT.TEXAS HWY 185, PORT LAVACA TEXAS 77979 (CALHOUN)","77979BPCHMTEXAS","              28.571","             -96.833","      19,144,998.1100000","           4,891.9000000","      19,149,890.0100000"
"17","ASCEND PERFORMANCE MATERIALS-CHOCOLATE BAYOU PLANT.1 MONSANTO RD FM 2917, ALVIN TEXAS 77511 (BRAZORIA)","77511SLTNCFM291","              29.231","             -95.196","      18,793,281.2400000","             688.0000000","      18,793,969.2400000"
"18","NEVADA GOLD MINES LLC-CORTEZ DISTRICT.30 MILES S OF I-80 BETWEEN STATE ROUTE 306 & STATE ROUTE 278, CRESCENT VALLEY NEVADA 89821 (LANDER)","89821CRTZGSTARA","              40.205","            -116.666","      17,315,365.9000000","           1,974.8000000","      17,317,340.7000000"
"19","NYRSTAR CLARKSVILLE INC.1800 ZINC PLANT RD, CLARKSVILLE TENNESSEE 37040 (MONTGOMERY)","37040SVGZN1800Z","              36.518","             -87.403","      16,932,901.2725900",".","      16,932,901.2725900"
"20","FORT KNOX MINE.1 FORT KNOX RD, FAIRBANKS ALASKA 99712 (FAIRBANKS NORTH STAR BOROUGH)","99707FRTKN1FORA","              65.000","            -147.358","      16,637,840.6003025","                .1000000","      16,637,840.7003025"
"21","HECLA LTD LUCKY FRIDAY MINE UNIT.397 FRIDAY AVENUE, MULLAN IDAHO 83846 (SHOSHONE)","83846LCKYFI90EX","              47.470","            -115.783","      16,340,192.5611500","               9.2851800","      16,340,201.8463300"
"22","BAYER CROPSCIENCE LP.12501 RIVER RD, LULING LOUISIANA 70070 (ST. CHARLES PARISH)","70070MNSNTRIVER","              29.924","             -90.352","      16,328,396.0000000","               4.0000000","      16,328,400.0000000"
"23","NEVADA GOLD MINES LLC - TURQUOISE RIDGE.28 MILES NE OF GOLCONDA, GOLCONDA NEVADA 89414 (HUMBOLDT)","89414GTCHL28MIN","              41.216","            -117.212","      15,561,218.4000000","              15.6000000","      15,561,234.0000000"
"24","TM DEER PARK SERVICES LP.2525 BATTLEGROUND RD, DEER PARK TEXAS 77536 (HARRIS)","77536DSPSL2525B","              29.734","             -95.090","      14,473,211.1900000","           6,792.3000000","      14,480,003.4900000"
"25","CLEAN HARBORS GRASSY MOUNTAIN LLC.3 MILES E 7 MILES N EXIT 41 ON I-80, GRANTSVILLE UTAH 84029 (TOOELE)","84074PPMNCI80XX","              40.825","            -113.208","      14,354,243.7844224","          24,937.5782043","      14,379,181.3626267"
"26","CLEVELAND-CLIFFS STEEL CORP (ROCKPORT WORKS ).6500 NORTH U.S. 231, ROCKPORT INDIANA 47635 (SPENCER)","47635KSTLC6500N","              37.985","             -87.026","      13,386,782.9000000","         705,498.0000000","      14,092,280.9000000"
"27","ONEOK ROCKIES MIDSTREAM LLC - GRASSLANDS GAS PLANT.16001 BENNIE PEER ROAD, ALEXANDER NORTH DAKOTA 58831 (MCKENZIE)","5883WNKRCK161BE","              47.591","            -103.999","      13,924,601.0000000","          10,677.8700000","      13,935,278.8700000"
"28","SMOKY VALLEY COMMON OPERATION.#1 SMOKY VALLEY MINE RD 45 MI N OF TONOPAH ON SR, ROUND MOUNTAIN NEVADA 89045 (NYE)","89045SMKYV1SMOK","              38.716","            -117.102","      13,386,668.5000000","           4,776.9000000","      13,391,445.4000000"
